GPS,_GPS_latitude,_GPS_longitude,_GPS_altitude,_GPS_precision,_Town_VDC_Village,Please_take_a_photo_when_possi,Gender,Age,receive_relief,government,ngo,youth_groups,neighbours,relatives,others,1_day,2_4_days,5_7_days,8__days,food,formof_relief/sanitation,formof_relief/emergency_medi_1,formof_relief/cash,formof_relief/tents,formof_relief/building_mater,formof_relief/others,top_priority/employment,top_priority/foreign_employ,top_priority/education,top_priority/rebuilding,top_priority/farm_business,top_priority/not_sure,Any_comments,start,end,today,username,simserial,subscriberid,deviceid,phonenumber,meta/instanceID,_uuid,_submission_time,_tags,_notes
n/a,n/a,n/a,n/a,n/a,45,n/a,female,45,No,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,I didnot get any relief. Truth is I donot need relief cause I am not that much affected by earthquake. But I am unsatisfied with the relief distribution way. I am a social worker and I want to say you a bitter truth. Here the so called relief distributer gave reliefs to their own relative.They collect them and later they sold these relief aid . The real victims get a very small amount of relief.And there is no one who is looking over this distribution process.,2015-09-08T22:23:23.000+06:45,2015-09-08T22:30:00.000+06:45,09/08/2015,n/a,no simserial property in enketo,no subscriberid property in enketo,enketo.kobotoolbox.org:FBOdIume4rKqMS3B,no phonenumber property in enketo,uuid:31b5ed91-683d-492a-8df5-523c1e369ea3,31b5ed91-683d-492a-8df5-523c1e369ea3,2015-09-08T16:45:00,,
27.97469 84.63973 995 0,27.97469,84.63973,995,0,Aahale village,n/a,female,35,Yes,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,No any,2015-08-24T17:37:00.000+06:45,2015-08-30T07:00:00.000+06:45,8/24/2015,n/a,no simserial property in enketo,no subscriberid property in enketo,enketo.kobotoolbox.org:lSVy7vdowGG0gNgO,no phonenumber property in enketo,uuid:3082e23b-3983-4697-8774-f9517656f313,3082e23b-3983-4697-8774-f9517656f313,2015-08-30T01:17:22,,
27.98282 84.63714 1066 0,27.98282,84.63714,1066,0,Aahale village,n/a,female,35,No,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Does not wish to complain on any because of the behaviour of the different politician,2015-08-24T17:43:03.000+06:45,2015-08-30T07:52:00.000+06:45,8/24/2015,n/a,no simserial property in enketo,no subscriberid property in enketo,enketo.kobotoolbox.org:lSVy7vdowGG0gNgO,no phonenumber property in enketo,uuid:32276875-559b-43c5-aba1-d11d6437e47f,32276875-559b-43c5-aba1-d11d6437e47f,2015-08-30T05:53:39,,
27.98405 84.63788 1070 0,27.98405,84.63788,1070,0,Aahale village,n/a,male,52,Yes,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,governments need to be alert and concerned for a help,2015-08-24T17:25:44.000+06:45,2015-08-30T07:49:08.000+06:45,8/24/2015,n/a,no simserial property in enketo,no subscriberid property in enketo,enketo.kobotoolbox.org:lSVy7vdowGG0gNgO,no phonenumber property in enketo,uuid:a38e55a5-4085-4ada-a84b-a4967ae2e4fe,a38e55a5-4085-4ada-a84b-a4967ae2e4fe,2015-08-30T05:53:35,,
27.984416 84.638844 1070 0,27.984416,84.638844,1070,0,Aahale village,n/a,male,84,Yes,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,No any,2015-08-24T17:28:12.000+06:45,2015-08-30T08:21:02.000+06:45,8/24/2015,n/a,no simserial property in enketo,no subscriberid property in enketo,enketo.kobotoolbox.org:lSVy7vdowGG0gNgO,no phonenumber property in enketo,uuid:36f44383-1141-42d4-9d9a-1e126fb39e4b,36f44383-1141-42d4-9d9a-1e126fb39e4b,2015-08-30T05:53:36,,
27.9838 84.63754 1071 0,27.9838,84.63754,1071,0,Aahale village,n/a,male,30,Yes,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,No,2015-08-24T17:40:13.000+06:45,2015-08-30T07:51:25.000+06:45,8/24/2015,n/a,no simserial property in enketo,no subscriberid property in enketo,enketo.kobotoolbox.org:lSVy7vdowGG0gNgO,no phonenumber property in enketo,uuid:8a9b87c9-5866-4f66-b7e8-ab6876b60a05,8a9b87c9-5866-4f66-b7e8-ab6876b60a05,2015-08-30T05:53:37,,
27.98391 84.63717 1077 0,27.98391,84.63717,1077,0,Aahale village,n/a,female,38,Yes,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Bearing loan if provided,2015-08-24T17:46:45.000+06:45,2015-08-30T08:19:35.000+06:45,8/24/2015,n/a,no simserial property in enketo,no subscriberid property in enketo,enketo.kobotoolbox.org:lSVy7vdowGG0gNgO,no phonenumber property in enketo,uuid:2bd640e0-55af-405c-b538-e93da0983d73,2bd640e0-55af-405c-b538-e93da0983d73,2015-08-30T05:53:40,,
28.07297 84.54097 1161 0,28.07297,84.54097,1161,0,Ampipal bhanjyang village,n/a,male,28,Yes,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,unemployment problem in Nepal is forcing me to go foreign country for employment,2015-08-30T13:28:23.000+06:45,2015-08-30T13:30:57.000+06:45,8/30/2015,n/a,no simserial property in enketo,no subscriberid property in enketo,enketo.kobotoolbox.org:JUnVuXSJ1n9FTVql,no phonenumber property in enketo,uuid:1077bbcb-1b6f-4df8-a92d-46c8408b2e80,1077bbcb-1b6f-4df8-a92d-46c8408b2e80,2015-08-30T07:46:06,,
n/a,n/a,n/a,n/a,n/a,"bagheswori 02, nuwakot",n/a,male,34,Yes,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,interested in local business and animal farming,2015-08-30T14:01:28.000+06:45,2015-08-30T14:04:23.000+06:45,8/30/2015,n/a,no simserial property in enketo,no subscriberid property in enketo,enketo.kobotoolbox.org:xLN5EL8mXu32VPMp,no phonenumber property in enketo,uuid:653d1764-2886-4bee-af15-4337a447ca6e,653d1764-2886-4bee-af15-4337a447ca6e,2015-08-30T10:22:54,,
27.79909 84.99453 407.16820099671236 32,27.79909,84.99453,407.168201,32,"Baireni, Dhading",n/a,female,35,Yes,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Thinking for further help,2015-08-25T08:57:45.000+06:45,2015-08-30T07:06:31.000+06:45,8/25/2015,n/a,no simserial property in enketo,no subscriberid property in enketo,enketo.kobotoolbox.org:lSVy7vdowGG0gNgO,no phonenumber property in enketo,uuid:11a6c17c-ce91-47d8-947f-16c2dbeb42da,11a6c17c-ce91-47d8-947f-16c2dbeb42da,2015-08-30T01:21:48,,
